Locality,MinPrice,MaxPrice,AvgRent,HouseType
Kalyan Nagar,21000,"50,000","36,884.62",3BHK
Dasarahalli on Tumkur Road,nan,nan,-,1BHK
Dasarahalli on Tumkur Road,5500,nan,"5,500",2BHK
Dasarahalli on Tumkur Road,20000,"30,000","25,550",3BHK
Bagaluru Near Yelahanka,nan,nan,-,1BHK
Bagaluru Near Yelahanka,15000,nan,"15,000",2BHK
Bagaluru Near Yelahanka,25000,"30,000","27,500",3BHK
Nagarbhavi,6000,"8,000","7,000",1BHK
Nagarbhavi,7000,"20,000","12,375",2BHK
Nagarbhavi,15000,"30,000","26,142.86",3BHK
Brookefield,7000,"21,000","14,145.45",1BHK
Brookefield,13000,"30,000","20,476.19",2BHK
Brookefield,24000,"45,000","34,333.33",3BHK
Hoskote,5500,"6,500","6,075",1BHK
Hoskote,9500,nan,"9,500",2BHK
Hoskote,15000,"21,000","18,000",3BHK
JP Nagar Phase 7,8000,nan,"8,000",1BHK
JP Nagar Phase 7,13000,"18,500","16,100",2BHK
JP Nagar Phase 7,16000,"48,000","34,362.5",3BHK
Hosa Road,9500,"20,000","13,833.33",1BHK
Hosa Road,12500,nan,"12,500",2BHK
Hosa Road,15000,"38,000","25,347.83",3BHK
Hulimavu,6000,"27,000","10,300",1BHK
Hulimavu,11000,"17,800","14,810",2BHK
Hulimavu,17000,"24,000","20,333.33",3BHK
Gottigere,6500,"15,000","10,62.38",1BHK
Gottigere,8000,"18,000","11,600",2BHK
Gottigere,13000,"40,000","20,800",3BHK
Jigani,6000,"9,500","7,700",1BHK
Jigani,8200,"14,000","10,775",2BHK
Jigani,20000,nan,"20,000",3BHK
